id_usuario,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,gasto_total,ratio_gasto_ingreso,perfil_financiero
1,4245,27.9,Alta,3678.65,0.87,En observación
2,3149,26.5,Baja,3256.88,1.03,En riesgo
3,2796,38.1,Baja,1863.77,0.67,En observación
4,3863,1.3,Alta,1697.85,0.44,Saludable
5,1981,34.7,Media,1161.97,0.59,Saludable
6,5698,26.6,Baja,4342.76,0.76,En observación
7,2683,31.7,Baja,1456.39,0.54,En observación
8,2599,25.6,Baja,1667.76,0.64,En riesgo
9,3480,14.1,Alta,3125.24,0.9,Saludable
10,3813,0.6,Baja,1948.16,0.51,En observación
11,4608,32.6,Alta,3360.08,0.73,Saludable
12,1282,19.2,Alta,855.2,0.67,En observación
13,4015,3.6,Alta,3245.47,0.81,Saludable
14,2485,39.2,Baja,2324.92,0.94,En riesgo
15,2241,25.4,Alta,1814.38,0.81,En observación
16,2781,27.2,Media,1531.94,0.55,Saludable
17,4719,50.3,Baja,3478.08,0.74,En riesgo
18,4042,20.3,Baja,3294.44,0.82,En riesgo
19,3446,53.5,Baja,959.52,0.28,En observación
20,3631,25.5,Baja,2783.22,0.77,En observación
21,3170,35.4,Baja,3220.79,1.02,En riesgo
22,2287,22.5,Alta,2092.08,0.91,En observación
23,2705,37.7,Alta,2076.02,0.77,En observación
24,2447,25.1,Baja,1662.54,0.68,En observación
25,3944,33.9,Alta,2961.63,0.75,Saludable
26,1377,23.7,Baja,947.8,0.69,En observación
27,3258,36.1,Alta,3549.63,1.09,En observación
28,3886,28.9,Alta,1572.36,0.4,Saludable
29,3590,66.9,Alta,2568.2,0.72,En observación
30,3448,12.5,Alta,3295.28,0.96,En observación
31,4687,16.4,Media,4698.73,1.0,En observación
32,4380,62.9,Baja,2504.06,0.57,En observación
33,3649,22.4,Media,1718.24,0.47,Saludable
34,1907,37.1,Alta,1114.65,0.58,En observación
35,2325,25.2,Media,2084.21,0.9,En observación
36,3841,49.6,Baja,1769.37,0.46,En observación
37,3890,41.7,Baja,2051.39,0.53,En observación
38,4283,34.5,Alta,3405.36,0.8,En observación
39,2480,33.5,Media,1990.83,0.8,En observación
40,6299,37.1,Media,3373.53,0.54,En observación
41,2038,41.8,Media,1953.52,0.96,En observación
42,4945,36.2,Baja,4440.47,0.9,En riesgo
43,3132,18.7,Baja,1847.53,0.59,En observación
44,3384,35.1,Media,2706.54,0.8,En observación
45,3520,51.8,Baja,2472.31,0.7,En riesgo
46,4439,17.1,Baja,2473.59,0.56,En observación
47,3165,40.7,Media,2643.35,0.84,En observación
48,2230,7.3,Baja,1493.27,0.67,En observación
49,3821,11.3,Media,2984.86,0.78,En observación
50,2174,32.3,Media,1653.28,0.76,En observación
51,4037,38.4,Alta,3814.76,0.94,En observación
52,1433,15.9,Media,1207.6,0.84,En observación
53,4273,85.0,Baja,3643.84,0.85,En riesgo
54,4931,39.8,Alta,3418.42,0.69,En observación
55,2341,26.4,Media,1551.23,0.66,En observación
56,6972,2.0,Alta,6090.23,0.87,Saludable
57,2792,46.3,Baja,2126.3,0.76,En observación
58,2427,40.2,Media,1501.18,0.62,En observación
59,3568,20.2,Baja,4052.93,1.14,En riesgo
60,800,32.8,Alta,504.7,0.63,En observación
61,2311,28.3,Media,1943.31,0.84,En observación
62,1700,25.0,Alta,1129.67,0.66,Saludable
63,6148,36.1,Alta,3215.66,0.52,En observación
64,6683,45.5,Media,3184.54,0.48,En observación
65,5400,19.4,Alta,4481.39,0.83,En observación
66,2110,29.1,Baja,527.5,0.25,Saludable
67,3121,11.3,Alta,3257.81,1.04,Saludable
68,2840,32.0,Baja,2866.78,1.01,En observación
69,5245,30.2,Baja,3007.11,0.57,En observación
70,3799,21.0,Alta,2896.98,0.76,Saludable
71,3670,39.9,Baja,3800.22,1.04,En observación
72,6700,0.7,Media,4841.95,0.72,En observación
73,3921,20.7,Baja,2793.86,0.71,En observación
74,2616,42.7,Baja,2130.11,0.81,En observación
75,4849,34.6,Baja,4346.23,0.9,En riesgo
76,2257,21.6,Media,1996.35,0.88,En observación
77,3469,31.8,Media,3399.55,0.98,En observación
78,4321,27.0,Media,3071.44,0.71,En observación
79,4738,42.2,Alta,4666.86,0.98,En observación
80,4523,25.3,Media,3656.17,0.81,En observación
81,3645,38.9,Baja,2196.92,0.6,En riesgo
82,1991,11.8,Media,1908.29,0.96,En observación
83,4436,39.4,Media,3317.22,0.75,En observación
84,3614,19.8,Baja,3344.83,0.93,En observación
85,2262,25.2,Alta,1864.63,0.82,Saludable
86,2267,33.7,Media,1800.21,0.79,En observación
87,2793,33.5,Alta,1366.74,0.49,Saludable
88,2422,26.8,Alta,1952.04,0.81,En observación
89,4786,27.6,Alta,3573.12,0.75,Saludable
90,3472,25.7,Baja,2805.69,0.81,En observación
91,4279,53.0,Alta,3125.48,0.73,En observación
92,4535,24.0,Alta,3584.18,0.79,Saludable
93,3647,18.4,Baja,2751.34,0.75,En observación
94,5677,44.4,Alta,6458.0,1.14,En observación
95,4808,32.8,Alta,5501.14,1.14,En observación
96,2240,21.0,Baja,823.65,0.37,Saludable
97,2361,32.3,Baja,1915.99,0.81,En riesgo
98,4926,21.3,Media,2897.89,0.59,En observación
99,1520,57.5,Media,1462.69,0.96,En observación
100,930,50.3,Media,678.33,0.73,En riesgo
101,1108,21.0,Alta,832.05,0.75,Saludable
102,2825,39.3,Alta,1575.87,0.56,Saludable
103,3680,37.7,Alta,3231.37,0.88,Saludable
104,1199,49.2,Baja,970.97,0.81,En observación
105,5827,31.7,Alta,5607.17,0.96,En observación
106,6591,56.3,Media,4647.88,0.71,En riesgo
107,4468,50.5,Baja,2574.97,0.58,En riesgo
108,5088,3.6,Baja,2732.32,0.54,Saludable
109,3096,40.8,Baja,3159.23,1.02,En riesgo
110,5943,9.3,Media,2635.07,0.44,Saludable
111,4076,29.5,Media,1540.16,0.38,Saludable
112,1543,40.0,Media,1259.07,0.82,En observación
113,2729,14.1,Baja,2015.96,0.74,En observación
114,2021,37.6,Baja,1322.85,0.65,En observación
115,3339,14.5,Alta,2171.5,0.65,Saludable
116,6447,30.5,Alta,4023.25,0.62,Saludable
117,3332,26.7,Media,2867.35,0.86,En observación
